Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,Functional_variable,F1_Score
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:poleDriver  ?b,0.0181818,0.000000004,0.000006596,19,5357609746,2880555,?a,1.31872E-05
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:secondDriver  ?b,0.0195167,0.000000004,0.000006617,21,5357609746,3173734,?a,1.32295E-05
?a  ex:country  ?f  ?b  ex:nationality  ?f   ,?a  ex:creativeDirector  ?b,0.0141844,0.000000001,0.000006689,2,2279486230,298982,?a,1.33717E-05
?a  ex:country  ?f  ?b  ex:deathPlace  ?f   ,?a  ex:secondCommander  ?b,0.019305,0.000000003,0.000006736,5,1474613628,742329,?a,1.34673E-05
?b  ex:birthPlace  ?f  ?a  ex:nationality  ?f   ,?a  ex:portrayer  ?b,0.0266667,0.000000173,0.000006775,114,658843390,16827094,?b,1.35466E-05
?b  ex:country  ?f  ?a  ex:deathPlace  ?f   ,?a  ex:employer  ?b,0.0114817,0.000000028,0.00000701,42,1474613628,5991565,?a,1.40114E-05
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:mayor  ?b,0.0466563,0.000000006,0.000007353,30,5357609746,4079728,?a,1.47037E-05
?a  ex:country  ?f  ?b  ex:location  ?f   ,?a  ex:sourceRegion  ?b,0.0230863,0.000000012,0.000007372,19,1578984168,2577367,?a,1.47393E-05
?a  ex:country  ?f  ?b  ex:nationality  ?f   ,?a  ex:dean  ?b,0.0601336,0.000000012,0.000007551,27,2279486230,3575799,?a,1.51001E-05
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:chairperson  ?b,0.0628571,0.000000002,0.000007609,11,5357609746,1445627,?a,1.52162E-05
?b  ex:deathPlace  ?f  ?a  ex:locatedInArea  ?f   ,?a  ex:firstAscentPerson  ?b,0.0123839,0.000000358,0.000008205,8,22346105,975058,?a,1.63991E-05
?b  ex:location  ?f  ?a  ex:spokenIn  ?f   ,?a  ex:languageRegulator  ?b,0.0186916,0.000000655,0.000008325,4,6106504,480458,?a,1.66426E-05
?b  ex:country  ?f  ?a  ex:deathPlace  ?f   ,?a  ex:education  ?b,0.0203616,0.000000151,0.000008657,223,1474613628,25759003,?a,1.73066E-05
?a  ex:country  ?f  ?b  ex:deathPlace  ?f   ,?a  ex:vicePresident  ?b,0.0166205,0.000000008,0.000008957,12,1474613628,1339683,?b,1.79044E-05
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:ceo  ?b,0.0784314,0.000000001,0.000008963,8,5357609746,892590,?a,0.000017924
?a  ex:country  ?f  ?b  ex:deathPlace  ?f   ,?a  ex:associate  ?b,0.0108814,0.000000007,0.000009141,10,1474613628,1093979,?b,1.82667E-05
?b  ex:country  ?f  ?a  ex:launchPad  ?f   ,?a  ex:launchPad  ?b,0.0334572,0.000009199,0.000009199,9,978351,978351,?a,1.83929E-05
?a  ex:country  ?f  ?b  ex:nationality  ?f   ,?a  ex:executiveProducer  ?b,0.0226281,0.000000073,0.000009258,166,2279486230,17930492,?a,1.85084E-05
?b  ex:birthPlace  ?f  ?a  ex:location  ?f   ,?a  ex:architect  ?b,0.0281532,0.000000552,0.000009275,325,589199304,35039672,?a,1.85439E-05
?a  ex:assembly  ?f  ?b  ex:location  ?f   ,?a  ex:designCompany  ?b,0.0144509,0.000001601,0.000009426,15,9369131,1591388,?a,1.88397E-05
?a  ex:country  ?f  ?b  ex:origin  ?f   ,?a  ex:aircraftTransport  ?b,0.0342466,0.00000008,0.000009936,25,313841305,2516022,?b,1.98662E-05
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:memberOfParliament  ?b,0.124654,0.000000008,0.000010307,45,5357609746,4366115,?b,2.06123E-05
?a  ex:country  ?f  ?b  ex:nationality  ?f   ,?a  ex:voice  ?b,0.0125448,0.000000037,0.000010438,84,2279486230,8047856,?b,2.08586E-05
?a  ex:location  ?f  ?b  ex:nationality  ?f   ,?a  ex:architect  ?b,0.0108281,0.000000568,0.000010448,125,219957209,11963526,?a,2.08759E-05
?b  ex:country  ?f  ?a  ex:headquarter  ?f   ,?a  ex:owningCompany  ?b,0.012257,0.000000634,0.000010576,116,182916061,10968720,?a,2.11338E-05
?a  ex:country  ?f  ?b  ex:origin  ?f   ,?a  ex:aircraftRecon  ?b,0.0421456,0.000000035,0.000010652,11,313841305,1032625,?b,2.12986E-05
?b  ex:country  ?f  ?a  ex:nationality  ?f   ,?a  ex:education  ?b,0.0954164,0.000000458,0.000010661,1045,2279486230,98021520,?a,2.13196E-05
?a  ex:country  ?f  ?b  ex:stateOfOrigin  ?f   ,?a  ex:dean  ?b,0.0222717,0.000000017,0.000010776,10,591765282,928006,?a,2.15416E-05
?a  ex:instrument  ?f  ?b  ex:instrument  ?f   ,?a  ex:associatedAct  ?b,0.0265487,0.000000021,0.000010809,3,140561410,277555,?a,2.16092E-05
?a  ex:location  ?f  ?b  ex:nationality  ?f   ,?a  ex:memberOfParliament  ?b,0.0166205,0.000000027,0.000010871,6,219957209,551905,?b,2.17278E-05
?a  ex:timeZone  ?f  ?b  ex:timeZone  ?f   ,?a  ex:highestMountain  ?b,0.0305344,0.000000002,0.000011165,4,2390765144,358264,?b,2.23218E-05
?a  ex:country  ?f  ?b  ex:residence  ?f   ,?a  ex:dean  ?b,0.0111359,0.000000017,0.000011206,5,300446016,446198,?a,2.23895E-05
?b  ex:country  ?f  ?a  ex:residence  ?f   ,?a  ex:billed  ?b,0.0205973,0.000000067,0.0000113,20,300446016,1769891,?a,2.25876E-05
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:vicePresident  ?b,0.0304709,0.000000004,0.000011526,22,5357609746,1908716,?b,2.30433E-05
?b  ex:country  ?f  ?a  ex:stateOfOrigin  ?f   ,?a  ex:education  ?b,0.0895727,0.000001658,0.000011578,981,591765282,84730374,?a,0.000023153
?b  ex:deathPlace  ?f  ?a  ex:location  ?f   ,?a  ex:secondDriver  ?b,0.0120818,0.000000077,0.000011585,13,169576909,1122095,?a,2.31478E-05
?a  ex:birthPlace  ?f  ?b  ex:nationality  ?f   ,?a  ex:partner  ?b,0.0141935,0.000000017,0.000012547,11,658843390,876680,?b,2.50718E-05
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:voice  ?b,0.139636,0.000000175,0.000012557,935,5357609746,74459962,?b,2.51117E-05
?a  ex:country  ?f  ?b  ex:nationality  ?f   ,?a  ex:illustrator  ?b,0.07628,0.000000064,0.000012643,146,2279486230,11547976,?a,2.52818E-05
?a  ex:assembly  ?f  ?b  ex:deathPlace  ?f   ,?a  ex:designCompany  ?b,0.0202312,0.000002374,0.000012677,21,8844453,1656599,?a,2.53381E-05
?b  ex:country  ?f  ?a  ex:location  ?f   ,?a  ex:outflow  ?b,0.0190853,0.000000034,0.000012941,53,1578984168,4095616,?a,2.58645E-05
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:viceChancellor  ?b,0.0555556,0.000000003,0.000013153,14,5357609746,1064378,?a,2.62998E-05
?b  ex:location  ?f  ?a  ex:stateOfOrigin  ?f   ,?a  ex:employer  ?b,0.018316,0.000001169,0.00001335,67,57335027,5018711,?a,2.66806E-05
?b  ex:location  ?f  ?a  ex:nationality  ?f   ,?a  ex:employer  ?b,0.018316,0.000000305,0.00001335,67,219957209,5018711,?a,2.66806E-05
?b  ex:country  ?f  ?a  ex:sourceCountry  ?f   ,?a  ex:mouthMountain  ?b,0.0223312,0.000000479,0.000013856,123,256822627,8876837,?a,2.76948E-05
?b  ex:country  ?f  ?a  ex:locatedInArea  ?f   ,?a  ex:crosses  ?b,0.0602903,0.000000795,0.000013914,162,203764351,11642558,?a,2.78216E-05
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:executiveProducer  ?b,0.0652944,0.000000089,0.000013921,479,5357609746,34407615,?a,2.78361E-05
?a  ex:country  ?f  ?b  ex:nationality  ?f   ,?a  ex:vicePresident  ?b,0.0152355,0.000000005,0.000014364,11,2279486230,765796,?b,2.87009E-05
?a  ex:location  ?f  ?b  ex:location  ?f   ,?a  ex:engineer  ?b,0.0150754,0.000000015,0.000014714,3,195147528,203888,?a,2.93993E-05
?a  ex:occupation  ?f  ?b  ex:occupation  ?f   ,?a  ex:associatedAct  ?b,0.168142,0.000000037,0.000014766,19,520448373,1286733,?a,2.95294E-05
?a  ex:country  ?f  ?b  ex:deathPlace  ?f   ,?a  ex:secondDriver  ?b,0.0111524,0.000000008,0.000015002,12,1474613628,799879,?a,2.99637E-05
?a  ex:party  ?f  ?b  ex:party  ?f   ,?a  ex:opponent  ?b,0.0482759,0.000000098,0.000015002,14,142173773,933193,?b,2.99947E-05
?a  ex:country  ?f  ?b  ex:nationality  ?f   ,?a  ex:showJudge  ?b,0.0129081,0.000000007,0.000015106,17,2279486230,1125366,?b,3.01767E-05
?a  ex:country  ?f  ?b  ex:deathPlace  ?f   ,?a  ex:voice  ?b,0.0250896,0.000000114,0.000015388,168,1474613628,10917431,?b,3.07571E-05
?b  ex:country  ?f  ?a  ex:mouthCountry  ?f   ,?a  ex:source  ?b,0.045063,0.000005551,0.000015406,68,12250151,4414006,?a,3.08015E-05
?a  ex:country  ?f  ?b  ex:nationality  ?f   ,?a  ex:alumni  ?b,0.0746269,0.000000004,0.000016404,10,2279486230,609622,?b,3.28008E-05
?a  ex:country  ?f  ?b  ex:location  ?f   ,?a  ex:lowestPlace  ?b,0.025641,0.000000003,0.000016574,5,1578984168,301677,?a,3.31266E-05
?b  ex:country  ?f  ?a  ex:mouthCountry  ?f   ,?a  ex:sourcePlace  ?b,0.0261803,0.000009959,0.000016874,122,12250151,7229963,?a,3.37263E-05
?a  ex:birthPlace  ?f  ?b  ex:nationality  ?f   ,?a  ex:child  ?b,0.0158547,0.000000188,0.000016911,124,658843390,7332368,?b,0.000033786
?b  ex:country  ?f  ?a  ex:mouthCountry  ?f   ,?a  ex:mouthMountain  ?b,0.0305011,0.000013714,0.000016962,168,12250151,9904699,?a,3.39051E-05
?b  ex:country  ?f  ?a  ex:locationCountry  ?f   ,?a  ex:broadcastNetwork  ?b,0.0181258,0.000000381,0.000017304,200,524728774,11557847,?a,0.000034575
?a  ex:birthPlace  ?f  ?b  ex:residence  ?f   ,?a  ex:doctoralStudent  ?b,0.0285888,0.000001268,0.000017403,141,111198439,8101969,?b,3.47848E-05
?b  ex:deathPlace  ?f  ?a  ex:location  ?f   ,?a  ex:poleDriver  ?b,0.0172249,0.000000106,0.000017762,18,169576909,1013408,?a,3.54874E-05
?a  ex:country  ?f  ?b  ex:location  ?f   ,?a  ex:island  ?b,0.0153257,0.000000003,0.000017813,4,1578984168,224561,?b,3.55846E-05
?a  ex:computingInput  ?f  ?b  ex:computingInput  ?f   ,?a  ex:gameEngine  ?b,0.0233318,0.000003376,0.000018409,50,14811601,2716044,?a,0.000036789
?a  ex:birthPlace  ?f  ?b  ex:nationality  ?f   ,?a  ex:doctoralStudent  ?b,0.0569749,0.000000427,0.000018475,281,658843390,15209474,?b,0.000036938
?a  ex:country  ?f  ?b  ex:locatedInArea  ?f   ,?a  ex:highestMountain  ?b,0.0534351,0.000000034,0.000018545,7,203764351,377454,?b,3.70771E-05
?a  ex:country  ?f  ?b  ex:nationality  ?f   ,?a  ex:mayor  ?b,0.0311042,0.000000009,0.000018661,20,2279486230,1071742,?a,3.72996E-05
?a  ex:citizenship  ?f  ?b  ex:country  ?f   ,?a  ex:education  ?b,0.0297663,0.000001978,0.000018923,326,164802333,17227815,?a,0.000037822
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:showJudge  ?b,0.143508,0.000000035,0.000018969,189,5357609746,9963393,?b,0.000037933
?a  ex:birthPlace  ?f  ?b  ex:birthPlace  ?f   ,?a  ex:associatedAct  ?b,0.0265487,0.000000001,0.000019002,3,2691496142,157879,?a,3.79768E-05
?b  ex:country  ?f  ?a  ex:sourceCountry  ?f   ,?a  ex:source  ?b,0.0550033,0.000000323,0.000019276,83,256822627,4305856,?a,3.85385E-05
?b  ex:birthPlace  ?f  ?a  ex:nationality  ?f   ,?a  ex:child  ?b,0.0212249,0.000000252,0.000019661,166,658843390,8443235,?b,3.92856E-05
?a  ex:birthPlace  ?f  ?b  ex:nationality  ?f   ,?a  ex:incumbent  ?b,0.023622,0.000000005,0.000020595,3,658843390,145665,?a,4.11541E-05
?b  ex:location  ?f  ?a  ex:origin  ?f   ,?a  ex:manufacturer  ?b,0.0159398,0.000008083,0.000021206,231,28578827,10892927,?a,4.23557E-05
?a  ex:assembly  ?f  ?b  ex:nationality  ?f   ,?a  ex:designCompany  ?b,0.0423892,0.000003837,0.00002129,44,11468541,2066736,?a,4.25586E-05
?a  ex:locatedInArea  ?f  ?b  ex:location  ?f   ,?a  ex:crosses  ?b,0.011537,0.000001368,0.000021377,31,22662098,1450183,?a,4.26749E-05
?a  ex:birthPlace  ?f  ?b  ex:deathPlace  ?f   ,?a  ex:doctoralStudent  ?b,0.0328467,0.000000225,0.000021582,162,721215179,7506325,?b,4.31357E-05
?a  ex:nationality  ?f  ?b  ex:nationality  ?f   ,?a  ex:incumbent  ?b,0.0314961,0.000000012,0.000021702,4,331686717,184311,?a,4.33741E-05
?b  ex:country  ?f  ?a  ex:sourceCountry  ?f   ,?a  ex:sourcePlace  ?b,0.0347639,0.000000631,0.000021893,162,256822627,7399467,?a,4.37584E-05
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:formerPartner  ?b,0.0456432,0.00000001,0.000022334,55,5357609746,2462664,?b,4.46462E-05
?b  ex:birthPlace  ?f  ?a  ex:thirdDriverCountry  ?f   ,?a  ex:thirdDriver  ?b,0.0111836,0.000022115,0.000022376,12,542611,536287,?a,4.46626E-05
?b  ex:country  ?f  ?a  ex:deathPlace  ?f   ,?a  ex:notableWork  ?b,0.0319356,0.000000089,0.000023204,131,1474613628,5645629,?b,4.63743E-05
?b  ex:country  ?f  ?a  ex:premierePlace  ?f   ,?a  ex:premierePlace  ?b,0.0338664,0.00002323,0.00002323,36,1549693,1549693,?a,4.64282E-05
?a  ex:birthPlace  ?f  ?b  ex:nationality  ?f   ,?a  ex:associate  ?b,0.0174102,0.000000024,0.000023266,16,658843390,687710,?b,4.64699E-05
?a  ex:country  ?f  ?b  ex:nationality  ?f   ,?a  ex:chairperson  ?b,0.04,0.000000003,0.000023638,7,2279486230,296139,?a,4.72481E-05
?a  ex:country  ?f  ?b  ex:stateOfOrigin  ?f   ,?a  ex:executiveProducer  ?b,0.0149945,0.000000186,0.000023737,110,591765282,4634101,?a,0.000047399
?a  ex:country  ?f  ?b  ex:nationality  ?f   ,?a  ex:memberOfParliament  ?b,0.6759,0.000000107,0.000023877,244,2279486230,10219087,?b,4.77523E-05
?a  ex:birthPlace  ?f  ?b  ex:birthPlace  ?f   ,?a  ex:incumbent  ?b,0.0708661,0.000000003,0.000024272,9,2691496142,370790,?a,4.85274E-05
?b  ex:country  ?f  ?a  ex:mouthCountry  ?f   ,?a  ex:sourceRegion  ?b,0.148238,0.000009959,0.000024674,122,12250151,4944400,?a,4.93398E-05
?a  ex:country  ?f  ?b  ex:stateOfOrigin  ?f   ,?a  ex:chairperson  ?b,0.0114286,0.000000003,0.000025476,2,591765282,78504,?a,5.08387E-05
?a  ex:country  ?f  ?b  ex:hometown  ?f   ,?a  ex:showJudge  ?b,0.0675778,0.000000065,0.000025491,89,1367393719,3491416,?b,5.09628E-05
?b  ex:country  ?f  ?a  ex:residence  ?f   ,?a  ex:education  ?b,0.0298576,0.000001088,0.000025521,327,300446016,12813003,?a,5.09984E-05
?b  ex:locationCountry  ?f  ?a  ex:spokenIn  ?f   ,?a  ex:languageRegulator  ?b,0.0186916,0.000002115,0.000025784,4,1891089,155134,?a,0.000051497
?a  ex:party  ?f  ?b  ex:party  ?f   ,?a  ex:incumbent  ?b,0.133858,0.00000012,0.000025835,17,142173773,658024,?a,0.00005166
?a  ex:country  ?f  ?b  ex:deathPlace  ?f   ,?a  ex:foundingPerson  ?b,0.0657895,0.000000007,0.000025908,10,1474613628,385985,?a,5.17956E-05
?a  ex:country  ?f  ?b  ex:residence  ?f   ,?a  ex:alumni  ?b,0.0223881,0.00000001,0.00002593,3,300446016,115697,?b,0.0000518
?b  ex:birthPlace  ?f  ?a  ex:location  ?f   ,?a  ex:coach  ?b,0.0153664,0.000000044,0.000026723,26,589199304,972938,?a,5.33532E-05
?b  ex:country  ?f  ?a  ex:sourceCountry  ?f   ,?a  ex:sourceRegion  ?b,0.18226,0.000000584,0.000026876,150,256822627,5581092,?a,5.37441E-05
?a  ex:birthPlace  ?f  ?b  ex:deathPlace  ?f   ,?a  ex:partner  ?b,0.0283871,0.000000031,0.000027173,22,721215179,809616,?b,0.000054294
?a  ex:birthPlace  ?f  ?b  ex:deathPlace  ?f   ,?a  ex:child  ?b,0.034011,0.000000369,0.000027743,266,721215179,9587943,?b,5.54408E-05
?a  ex:birthPlace  ?f  ?b  ex:location  ?f   ,?a  ex:employer  ?b,0.02269,0.000000141,0.000027787,83,589199304,2986974,?a,0.000055506
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:alumni  ?b,0.171642,0.000000004,0.000027871,23,5357609746,825245,?b,5.57329E-05
?a  ex:birthPlace  ?f  ?b  ex:nationality  ?f   ,?a  ex:influencedBy  ?b,0.0311951,0.000000862,0.000028022,568,658843390,20269819,?b,5.59937E-05
?b  ex:birthPlace  ?f  ?a  ex:location  ?f   ,?a  ex:executiveProducer  ?b,0.013904,0.000000173,0.000028129,102,589199304,3626147,?a,5.61444E-05
?a  ex:birthPlace  ?f  ?b  ex:nationality  ?f   ,?a  ex:opponent  ?b,0.0172414,0.000000008,0.000028146,5,658843390,177643,?b,5.62003E-05
?a  ex:country  ?f  ?b  ex:deathPlace  ?f   ,?a  ex:alumni  ?b,0.0373134,0.000000003,0.000028463,5,1474613628,175668,?b,5.68826E-05
?a  ex:country  ?f  ?b  ex:stateOfOrigin  ?f   ,?a  ex:mayor  ?b,0.0139969,0.000000015,0.000028617,9,591765282,314499,?a,5.71172E-05
?b  ex:location  ?f  ?a  ex:state  ?f   ,?a  ex:sourceRegion  ?b,0.0133657,0.000000595,0.000028686,11,18498869,383469,?a,5.72491E-05
?a  ex:birthPlace  ?f  ?b  ex:birthPlace  ?f   ,?a  ex:opponent  ?b,0.0724138,0.000000008,0.000029253,21,2691496142,717887,?b,5.84824E-05
?b  ex:birthPlace  ?f  ?a  ex:city  ?f   ,?a  ex:viceChancellor  ?b,0.0119048,0.000000108,0.000029372,3,27682498,102139,?a,5.85994E-05
?a  ex:country  ?f  ?b  ex:sourceCountry  ?f   ,?a  ex:rightTributary  ?b,0.0308552,0.000000495,0.000029726,127,256822627,4272356,?b,5.93948E-05
?a  ex:nationality  ?f  ?b  ex:nationality  ?f   ,?a  ex:opponent  ?b,0.0103448,0.000000009,0.000029939,3,331686717,100203,?b,5.97052E-05
?a  ex:type  ?f  ?b  ex:type  ?f   ,?a  ex:municipality  ?b,0.0108167,0.000000005,0.000030126,20,4388664485,663882,?a,6.00847E-05
?b  ex:birthPlace  ?f  ?a  ex:secondDriverCountry  ?f   ,?a  ex:secondDriver  ?b,0.0157993,0.000030412,0.000030803,17,558995,551893,?a,6.14861E-05
?a  ex:country  ?f  ?b  ex:residence  ?f   ,?a  ex:currentPartner  ?b,0.0411862,0.000000083,0.000030974,25,300446016,807137,?b,6.19014E-05
?b  ex:birthPlace  ?f  ?a  ex:location  ?f   ,?a  ex:showJudge  ?b,0.0235383,0.000000053,0.000031113,31,589199304,996379,?b,6.21439E-05
?a  ex:birthPlace  ?f  ?b  ex:deathPlace  ?f   ,?a  ex:opponent  ?b,0.0137931,0.000000006,0.000031446,4,721215179,127202,?b,6.27489E-05
?b  ex:birthPlace  ?f  ?a  ex:firstDriverCountry  ?f   ,?a  ex:poleDriver  ?b,0.0114833,0.000020186,0.000031457,12,594485,381476,?a,6.27421E-05
?b  ex:birthPlace  ?f  ?a  ex:country  ?f   ,?a  ex:currentPartner  ?b,0.0939045,0.000000011,0.000032391,57,5357609746,1759771,?b,6.47597E-05
?b  ex:country  ?f  ?a  ex:nationality  ?f   ,?a  ex:notableWork  ?b,0.0841053,0.000000151,0.000032517,345,2279486230,10609799,?b,6.50089E-05
?a  ex:deathPlace  ?f  ?b  ex:nationality  ?f   ,?a  ex:influencedBy  ?b,0.0103251,0.000001023,0.00003261,188,183804440,5765182,?b,6.50147E-05
?a  ex:birthPlace  ?f  ?b  ex:location  ?f   ,?a  ex:significantBuilding  ?b,0.0504073,0.000000168,0.000032973,99,589199304,3002437,?b,6.59029E-05
?a  ex:country  ?f  ?b  ex:hometown  ?f   ,?a  ex:alumni  ?b,0.0298507,0.000000003,0.000033321,4,1367393719,120045,?b,6.65677E-05
?a  ex:birthPlace  ?f  ?b  ex:birthPlace  ?f   ,?a  ex:doctoralStudent  ?b,0.0723844,0.000000133,0.000033748,357,2691496142,10578484,?b,6.74645E-05
?a  ex:state  ?f  ?b  ex:state  ?f   ,?a  ex:denomination  ?b,0.0160428,0.00000021,0.000034096,12,57219022,351945,?a,6.80474E-05
?b  ex:location  ?f  ?a  ex:locationCountry  ?f   ,?a  ex:parentCompany  ?b,0.0249019,0.000003921,0.000035266,203,51773723,5756334,?a,7.04323E-05
?b  ex:country  ?f  ?a  ex:nationality  ?f   ,?a  ex:highschool  ?b,0.215432,0.000000124,0.000035349,282,2279486230,7977675,?b,7.06864E-05
